t_s,v_linear_mps,v_angular_radps,target
-0.4534,0.00000,-0.00000,0.00000
-0.4030,0.00000,-0.00000,0.00000
-0.3526,0.00000,-0.00000,0.00000
-0.3022,0.00000,-0.00000,0.00000
-0.2519,0.00000,-0.00000,0.00000
-0.2016,0.00000,-0.00000,0.00000
-0.1512,0.00000,-0.00000,0.00000
-0.1008,0.00000,-0.00000,0.00000
-0.0505,0.00000,-0.00000,0.00000
-0.0001,0.00000,-0.00000,0.00000
0.0502,0.00000,-0.00000,0.05000
0.1005,0.00000,-0.00000,0.05000
0.1509,0.00000,-0.00000,0.05000
0.2014,0.03358,0.01538,0.05000
0.2517,0.05118,0.03261,0.05000
0.3021,0.07080,0.01796,0.05000
0.3526,0.08130,0.00880,0.05000
0.4029,0.08781,0.00422,0.05000
0.4533,0.08981,0.01175,0.05000
0.5036,0.09324,0.01651,0.05000
0.5543,0.09327,0.01778,0.05000
0.6046,0.09312,-0.00809,0.05000
0.6551,0.09361,0.00173,0.05000
0.7054,0.09295,0.00857,0.05000
0.7558,0.09158,0.00990,0.05000
0.8061,0.08975,0.01707,0.05000
0.8564,0.08710,0.01235,0.05000
0.9068,0.08588,-0.00317,0.05000
0.9573,0.08560,-0.00155,0.05000
1.0077,0.08371,0.01992,0.05000
1.0583,0.08300,0.01375,0.05000
1.1086,0.08118,0.01440,0.05000
1.1593,0.07822,0.01105,0.05000
1.2097,0.07744,0.01507,0.05000
1.2601,0.07679,-0.00059,0.05000
1.3105,0.07569,0.00099,0.05000
1.3612,0.07593,0.01986,0.05000
1.4116,0.07511,0.03006,0.05000
1.4619,0.07370,0.01473,0.05000
1.5123,0.06974,0.01075,0.05000
1.5629,0.06799,0.00527,0.05000
1.6132,0.06557,0.01599,0.05000
1.6636,0.06320,0.01581,0.05000
1.7139,0.06085,-0.00876,0.05000
1.7646,0.05975,-0.01227,0.05000
1.8150,0.06080,0.01796,0.05000
1.8653,0.06030,0.02247,0.05000
1.9158,0.06128,0.00201,0.05000
1.9664,0.06167,-0.00471,0.05000
2.0168,0.06243,0.00528,0.00000
2.0671,0.06167,0.01398,0.00000
2.1175,0.05879,0.01727,0.00000
2.1682,0.05737,0.01074,0.00000
2.2186,0.03135,-0.01968,0.00000
2.2692,0.01285,-0.02332,0.00000
2.3195,0.00095,-0.01199,0.00000
2.3699,-0.00131,-0.00416,0.00000
2.4203,-0.00045,-0.00143,0.00000
2.4707,-0.00022,-0.00070,0.00000
2.5211,-0.00008,-0.00024,0.00000
2.5715,-0.00004,-0.00012,0.00000
2.6218,-0.00001,-0.00004,0.00000
2.6722,-0.00001,-0.00002,0.00000
2.7226,-0.00000,-0.00001,0.00000
2.7729,-0.00000,-0.00000,0.00000
2.8233,-0.00000,-0.00000,0.00000
2.8737,-0.00000,-0.00000,0.00000
2.9241,-0.00000,-0.00000,0.00000
2.9745,-0.00000,-0.00000,0.00000
3.0248,-0.00000,-0.00000,0.00000
