t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4540,0.00000,-0.00000,0.00000,0.00000
-0.4035,0.00000,-0.00000,-0.00327,0.00000
-0.3531,0.00000,-0.00000,-0.00109,0.00000
-0.3026,0.00000,-0.00000,-0.00218,0.00000
-0.2523,0.00000,-0.00000,0.00109,0.00000
-0.2018,0.00000,-0.00000,-0.00000,0.00000
-0.1515,0.00000,-0.00000,-0.00109,0.00000
-0.1011,0.00000,-0.00000,-0.00000,0.00000
-0.0507,0.00000,-0.00000,-0.00000,0.00000
-0.0003,0.00000,-0.00000,-0.00218,0.00000
0.0501,0.00000,-0.00000,-0.00109,2.00000
0.1005,0.00000,-0.00000,0.00109,2.00000
0.1510,0.00000,-0.00000,-0.00000,2.00000
0.2013,0.00057,0.52419,0.00218,2.00000
0.2517,0.00708,1.04143,0.06654,2.00000
0.3021,0.01021,1.34687,0.66104,2.00000
0.3527,0.01489,1.38643,0.69922,2.00000
0.4031,0.02207,1.38765,0.52578,2.00000
0.4534,0.02555,1.41951,0.46906,2.00000
0.5039,0.02251,1.46477,0.51051,2.00000
0.5545,0.01783,1.58324,0.63814,2.00000
0.6049,0.02172,1.83895,0.68504,2.00000
0.6552,0.02658,1.98995,0.68722,2.00000
0.7056,0.02730,2.19844,0.84430,2.00000
0.7061,0.02349,2.35183,0.94139,2.00000
0.7565,0.01669,2.57093,1.08647,2.00000
0.8068,0.01572,2.72140,1.12574,2.00000
0.8572,0.02708,2.88893,1.11047,2.00000
0.9078,0.03600,2.99043,1.11919,2.00000
0.9582,0.04151,3.06717,1.16392,2.00000
1.0085,0.03513,3.11822,1.20755,2.00000
1.0589,0.02244,3.16188,1.29045,2.00000
1.1095,0.01990,3.18799,1.33409,2.00000
1.1599,0.02466,3.22984,1.23700,2.00000
1.2103,0.07749,2.82530,1.09628,2.00000
1.2606,0.07595,2.64490,0.71122,2.00000
1.3113,0.05492,2.76954,0.88466,2.00000
1.3616,0.07236,2.59888,1.16937,2.00000
1.4120,0.11918,2.20094,0.88575,2.00000
1.4625,0.16754,1.83549,0.40252,2.00000
1.5131,0.18406,1.77285,0.04581,2.00000
1.5635,0.19561,1.73788,0.06109,2.00000
1.6138,0.19992,1.74273,0.15926,2.00000
1.6642,0.20437,1.76966,0.23126,2.00000
1.7149,0.20770,1.81239,0.24107,2.00000
1.7653,0.20896,1.88205,0.15053,2.00000
1.8156,0.20943,1.93526,0.14726,2.00000
1.8660,0.20762,1.97969,0.13417,2.00000
1.9166,0.20563,2.00647,0.13199,2.00000
1.9670,0.20438,2.02337,0.10145,2.00000
2.0174,0.20308,2.01818,0.08508,2.00000
2.0678,0.20310,2.02340,0.06545,2.00000
2.1186,0.20285,2.02220,0.03818,2.00000
2.1690,0.20246,2.02706,0.01854,2.00000
2.2193,0.20173,2.03537,0.05781,2.00000
2.2697,0.20236,2.05147,0.06218,2.00000
2.3203,0.20095,2.06272,-0.00109,2.00000
2.3707,0.19821,2.11075,0.04036,2.00000
2.4210,0.19811,2.14989,0.02945,2.00000
2.4715,0.19235,2.20874,0.05236,2.00000
2.5221,0.18576,2.24235,0.11345,2.00000
2.5724,0.17714,2.31943,0.22253,2.00000
2.6228,0.16899,2.37806,0.23344,2.00000
2.6732,0.15546,2.47367,0.30871,2.00000
2.7239,0.14729,2.54480,0.42979,2.00000
2.7743,0.13249,2.66982,0.51814,2.00000
2.8247,0.12164,2.75715,0.53560,2.00000
2.8751,0.10283,2.90682,0.64141,2.00000
2.9257,0.09060,2.99920,0.81921,2.00000
2.9761,0.07997,3.11166,0.88357,2.00000
3.0264,0.07123,3.18906,0.82249,0.00000
3.0768,0.05710,3.30548,0.93375,0.00000
3.1273,0.04877,3.35751,0.99593,0.00000
3.1777,0.04232,3.28942,0.98938,0.00000
3.2280,0.04478,2.61519,1.02211,0.00000
3.2784,0.03755,1.18143,0.70904,0.00000
3.3288,0.01805,0.47862,0.16908,0.00000
3.3791,0.00130,0.01335,-0.16035,0.00000
3.4295,-0.00211,-0.07095,-0.06763,0.00000
3.4799,-0.00305,-0.05317,0.00436,0.00000
3.5302,-0.00150,-0.02605,-0.01527,0.00000
3.5806,-0.00051,-0.00894,0.00218,0.00000
3.6309,-0.00025,-0.00438,0.00109,0.00000
3.6813,-0.00009,-0.00150,-0.00109,0.00000
3.7316,-0.00004,-0.00074,-0.00218,0.00000
3.7819,-0.00001,-0.00025,0.00109,0.00000
3.8323,-0.00001,-0.00012,-0.00109,0.00000
3.8826,-0.00000,-0.00004,-0.00000,0.00000
3.9330,-0.00000,-0.00002,0.00109,0.00000
3.9833,-0.00000,-0.00001,-0.00109,0.00000
4.0336,-0.00000,-0.00000,0.00109,0.00000
