pwm,direction,v_left_mps,v_right_mps,v_left_std,v_right_std,n_samples,dt_elapsed_s
0,fwd,-1.2608182932762544e-45,-1.54177863537338e-45,0.0,0.0,9,0.40589872999407817
10,fwd,-1.2608182932762544e-45,-1.54177863537338e-45,0.0,0.0,9,0.4073786430017208
20,fwd,-1.2608182932762544e-45,-1.54177863537338e-45,0.0,0.0,9,0.40753903000586433
30,fwd,-1.2608182932762544e-45,-1.54177863537338e-45,0.0,0.0,9,0.40690609199373284
40,fwd,-1.0751490591695489e-12,0.00015901041898604894,6.8005212657124465e-12,0.00025571654542070845,9,0.40778571300324984
50,fwd,8.26512068377541e-06,7.03524626169119e-12,1.4254530087633049e-05,1.2373399967192269e-11,9,0.4066698710012133
60,fwd,1.5866264554848975e-05,9.565062904076881e-06,2.549996543280572e-05,1.5372791274326997e-05,9,0.4070742190015153
70,fwd,2.853490477775326e-13,1.720242563231575e-13,4.586077000666804e-13,2.764741995858752e-13,9,0.4075420109948027
80,fwd,4.494779209481837e-06,0.0007170398367183629,7.223932572413553e-06,0.001152413101120463,9,0.40724012400460197
90,fwd,0.0006918992324757862,3.630826638446732e-11,0.0011120076154991457,5.0192549951520794e-11,9,0.4068471279970254
100,fwd,1.2443557583823727e-11,2.3458679116305948e-18,1.9999054382479952e-11,3.831222165787308e-18,9,0.4067751659968053
110,fwd,2.2379290510572857e-19,2.9572391268254626e-26,3.5967580010672816e-19,5.0508144676831243e-26,9,0.4070532559999265
120,fwd,1.7776857661048246e-27,-2.5295668785746673e-34,3.0659051085025465e-27,4.842747673528454e-34,9,0.40708275500219315
130,fwd,3.1971030673172787e-35,-2.1473696975113435e-42,5.513918473289329e-35,2.9610194483401e-42,9,0.40729821599961724
140,fwd,2.749341834473006e-11,0.004045278276148667,1.1337378811989808e-10,0.004047504153266925,9,0.4073865669997758
150,fwd,0.0008388159487038947,0.0006662603292801982,0.0012904595535896297,0.001149073123510281,9,0.4072060309990775
160,fwd,0.024978848506192055,0.026801172518882796,0.0007736221349056896,0.0016917179667084272,9,0.40696497700264445
170,fwd,0.08342992960853088,0.08765845133752252,0.004744924351983519,0.005061607675409654,9,0.4068867930036504
180,fwd,0.13907817772942363,0.1429652137367171,0.005423879858946958,0.008156884209324056,10,0.4073692519959877
0,rev,4.517278492432454e-06,6.419438973843722e-06,7.260086166747869e-06,1.0317203223979674e-05,9,0.40765028599707875
-10,rev,8.124160483734609e-14,1.154512716361755e-13,1.3056999502616873e-13,1.855511344702383e-13,9,0.4070359030010877
-20,rev,1.4611007418567646e-21,2.076349277602142e-21,2.3482538863130965e-21,3.3370699221533777e-21,9,0.40694738500315
-30,rev,2.6277370291479054e-29,3.734239283478788e-29,4.2232501094779793e-29,6.001599968316736e-29,9,0.40728936300001806
-40,rev,4.725889897527752e-37,6.71589416086282e-37,7.595362234782094e-37,1.0793660046458514e-36,9,0.4072635300035472
-50,rev,8.17951926611039e-45,1.1438659234437047e-44,1.2938461678894336e-44,1.844565454310924e-44,10,0.4074523789968225
-60,rev,-4.0505169060045525e-06,-1.389327266939016e-06,6.9857679657069725e-06,2.396118315444533e-06,9,0.4069003100012196
-70,rev,-2.8353618358583075e-06,1.663579892410406e-13,4.8900377060432385e-06,3.3763637288351945e-13,9,0.40668858899880433
-80,rev,-5.099294811108231e-14,8.380976322209319e-21,8.794554191058226e-14,1.4386592664915998e-20,9,0.40758987799927127
-90,rev,-4.7568593979165175e-12,-0.0008674821262126595,1.1985691880255552e-11,0.0014961124681808168,9,0.401930314998026
-100,rev,-7.871352942542486e-19,-1.5601351505414315e-11,1.3588793919749946e-18,2.6907040736679546e-11,9,0.4070636789983837
-110,rev,-2.8353618358583075e-06,1.663579892410406e-13,4.8900377060432385e-06,3.3763637288351945e-13,9,0.4075633409956936
-120,rev,-0.0003328792606531465,-0.00013717874330508264,0.0006151122428151054,0.0002534862684151912,10,0.4076135070063174
-130,rev,-7.339167958784445e-07,-1.026316019800478e-12,1.1795374410109524e-06,1.6444195561369314e-12,9,0.40674842199950945
-140,rev,-7.4679546878029e-06,-1.888085357218393e-05,1.2002357715067944e-05,3.0344956911622538e-05,9,0.4079148559976602
-150,rev,-0.0025172756213994747,-0.003261613905284725,0.002612274734075297,0.00301896337025608,9,0.4079294109978946
-160,rev,-0.03832295734656509,-0.03943283575469266,0.0022437632960276466,0.001894925684787113,9,0.4074608779992559
-170,rev,-0.08043273667481521,-0.08551271213438466,0.0014107151098258276,0.0028668024307278144,9,0.40769987599924207
-180,rev,-0.1343888007998583,-0.13677200740574627,0.002705002931470356,0.0022751067509683446,10,0.40787994799757143
